STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
723240,13882,20110101,56.5,24,51.9,24,1016.7,14,991.3,24,5.7,24,5.4,24,15,21,64,46.9, 0.80G,999.9,10010
723240,13882,20110102,42.3,24,28.8,24,1022.2,24,996.7,24,10,24,6.4,24,13,15,60.1,34, 1.72G,999.9,0
723240,13882,20110103,32.6,24,16.7,24,1026.6,24,1001,24,10,24,2.2,24,8.9,999.9,46.9,23, 0.00G,999.9,0
723240,13882,20110104,37,24,23.5,24,1021.3,24,995.9,24,10,24,1.3,24,7,999.9,54,23, 0.00G,999.9,0
723240,13882,20110105,35.2,24,29.7,24,1016.7,23,991.1,24,9,24,1.4,24,8,999.9,54,28, 0.00G,999.9,10000
723240,13882,20110106,38.7,24,32.3,24,1008.9,15,984.4,24,5.8,24,3.8,24,11.1,999.9,46.9,28.2, 0.25G,999.9,110000
723240,13882,20110107,43.3,24,28.6,24,1002.2,24,977.4,24,10,24,6.9,24,22,33,54,35.1, 0.00G,999.9,10000
723240,13882,20110108,36.7,24,22.8,24,1005.4,24,980.4,24,10,24,9.9,24,18.1,29.9,54,27, 0.00G,999.9,11000
723240,13882,20110109,23.4,24,6.9,24,1022.7,24,996.9,24,10,24,8.9,24,15,999.9,39,17.1, 0.00G,999.9,0
723240,13882,20110110,27.9,24,20.3,24,1023.2,17,997.6,24,4.1,24,5.6,24,8.9,999.9,33.1,17.1, 0.59G,7.1,101000
723240,13882,20110111,31.9,24,29.1,24,1022.5,19,996.7,24,3.6,24,4.3,24,15,20,36,25, 0.10G,5.1,11000
723240,13882,20110112,27.3,24,15.1,24,1028.9,24,1002.9,24,8.8,24,8.3,24,13,22.9,36,24.1, 0.01G,3.9,1000
723240,13882,20110113,24.8,24,13.9,24,1034.4,22,1008.4,24,9.7,24,7.7,24,11.1,19,30.9,21, 0.00G,3.9,1000
723240,13882,20110114,23.4,24,14.4,24,1031.6,24,1005.6,24,9.9,24,0,24,999.9,999.9,39.9,12.9, 0.00G,3.1,0
723240,13882,20110115,31.7,24,18.6,24,1026.4,24,1000.7,24,10,24,1.5,24,7,999.9,46.9,12.9, 0.00G,2,0
723240,13882,20110116,36.6,24,26.3,24,1021.5,24,996.1,24,10,24,0.4,24,4.1,999.9,52,21, 0.00G,1.2,0
723240,13882,20110117,37.7,24,31.4,24,1017.2,24,992,24,10,24,0.6,24,4.1,999.9,52,26.1, 0.00G,2,0
723240,13882,20110118,41.3,24,37.5,24,1011.7,21,986.5,24,6,24,2.3,24,6,999.9,48,32, 0.00G,999.9,10000
723240,13882,20110119,42.8,24,38.2,24,1016.1,18,989.5,24,6.2,24,3.2,24,8.9,999.9,46,36, 0.23G,999.9,110000
723240,13882,20110120,36.5,24,30.3,24,1018.3,22,992.6,24,9.4,24,4.5,24,8.9,999.9,46,28, 0.00G,999.9,10000
723240,13882,20110121,31.3,24,18.2,24,1017.1,22,991.6,24,8.4,24,8.8,24,13,18.1,44.1,24.1, 0.02G,999.9,11000
723240,13882,20110122,30.2,24,6.2,24,1015.8,24,990.2,24,10,24,5.6,24,8.9,999.9,42.1,23, 0.00G,999.9,0
723240,13882,20110123,32,24,19.5,24,1020.6,24,995,24,10,24,0.9,24,6,999.9,44.1,24.1, 0.00G,999.9,0
723240,13882,20110124,40.5,24,24.6,24,1022.8,24,997.3,24,10,24,3.4,24,12,17.1,54,24.3, 0.00G,999.9,0
723240,13882,20110125,43.7,24,31.1,24,1019.6,23,994.1,24,8.5,24,4,24,9.9,999.9,54,31.1, 0.02G,999.9,10000
723240,13882,20110126,39.5,24,35,24,1013,19,986.4,24,5.8,24,6.2,24,13,20,46,33.1, 0.65G,999.9,10000
